ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9780971486300;Goseigen: Revelações Divinas — Capa Dura;01/01/2008;Sei-?;Meishu-Sama (Mokichi Okada);Português;Sessão religião;Usado; R$ 300,00 ;1; R$ 198,00 ;12/11/2025;12/11/2025;
Não possui;Fazendo Lobby - Guia para partiipação de delegadas/os no processo de negociação e incidência na 1ª Conferência nacional de comunicação  (CONFECOM);17/12/2009;Rede Mulher de Educação;Jacira Melo e outros;Português;Letra do autor;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;12/11/2025;
9788596021647;Um bichinho só pra mim Capa comum;01/01/2020; Sônia Barros e Arthur Vergani ;Quinteto;Português;Letra do autor Paradidático;Usado; R$ 50,00 ;6; R$ 16,67 ;12/11/2025;12/11/2025;
9788532280626;O jogo do puxa-puxa Capa comum;01/01/2012; Flávia Muniz  e  Fabiana Salomão;FTD;Português;Letra do autor Paradidático;Novo; R$ 60,00 ;2; R$ 20,00 ;12/11/2025;12/11/2025;
9788585466299;Fábulas de Esopo Capa comum;25/08/1994; Russell Ash e  Bernard Higton;Companhia das Letrinhas;Português;Letra do autor Paradidático;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;12/11/2025;
9788596032490;O alfaiate valente Capa comum ;01/11/2022; Ana Maria Machado  e  Bruno Nunes;FTD;Português;Letra do autor Paradidático;Usado; R$ 55,00 ;1; R$ 18,33 ;12/11/2025;Verificar estoque;
9788596018203;Melhores Amigos;01/11/2018;Patrick Jackson;FTD;Português;Letra do autor Paradidático;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;Verificar estoque;
9788532257024;Poesia é fruta doce e gostosa Capa comum ;19/09/2018; Elias José e Cristina Biazetto;FTD;Português;Letra do autor Paradidático;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;Verificar estoque;
9786555122732;Bakemonogatari Vol. 7 Capa comum;25/08/2020;Nisioisin ;Panini;Português;Mangá;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;12/11/2025;
9788580732726;Coleção Artes Marciais: Muay Tai Boxe Tailandês Capa comum;01/01/2011;Luiz Alves e Artur Mariano;On Line Editora.;Português;Letra do autor;Usado; R$ 20,00 ;1; R$ 6,67 ;12/11/2025;12/11/2025;
9788571563445;Minhas Oracoes Capa comum ;01/01/2003; MASAHARU TANIGUCHI;SEICHO-NO-IE;Português;Religião;Usado; R$ 40,00 ;1; R$ 13,33 ;12/11/2025;12/11/2025;
9788551004630;Holocausto Brasileiro: Genocídio: 60 mil mortos no maior hospício do Brasil Capa comum;11/03/2019; Daniela Arbex ;Intrínseca;Português;Letra do autor;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;12/11/2025;
9788594318565;Mensagem Capa comum;04/04/2019;Fernando Pessoa ;Principis;Português;Letra do autor;Usado; R$ 20,00 ;1; R$ 6,67 ;12/11/2025;12/11/2025;
